City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chapais,49.78,-74.85,296.15,64,1,3.1,CA,1592448313
Shitanjing,39.23,106.34,301.25,15,0,1.81,CN,1592448313
Semey,50.41,80.23,290.15,63,75,5.0,KZ,1592448313
Saint-Augustin,51.23,-58.65,287.28,83,70,3.0,CA,1592448313
El Alto,-4.27,-81.21,291.18,84,38,5.32,PE,1592448313
Jiangyou,31.77,104.72,301.63,54,66,3.28,CN,1592448313
Lincoln,40.8,-96.67,303.15,45,1,8.7,US,1592448281
Okato,-39.2,173.88,286.48,88,100,1.79,NZ,1592448313
Jiblah,13.92,44.15,293.98,48,65,0.76,YE,1592448314
Markova,48.68,24.41,285.93,91,11,0.67,UA,1592448314
Solnechnyy,50.72,136.63,284.05,64,86,3.95,RU,1592448314
Huaicheng,23.91,112.19,304.93,60,63,1.8,CN,1592448314
Eenhana,-17.47,16.33,287.15,54,0,2.6,NA,1592448314
Lebedinyy,58.52,125.52,292.32,54,73,2.41,RU,1592448314
Kirakira,-10.45,161.92,301.97,76,22,4.01,SB,1592448314
Kastornoye,51.83,38.13,289.89,80,0,3.2,RU,1592448314
Sept-Îles,50.2,-66.38,295.15,68,75,1.5,CA,1592448314
Storozhevaya,43.88,41.45,288.25,72,98,2.19,RU,1592448314
Fairfield,41.27,-73.32,292.15,88,20,2.1,US,1592448239
Turan,16.07,108.22,305.15,52,40,3.6,VN,1592448195
Birin,26.89,88.07,291.08,100,100,1.39,NP,1592448315
Itaituba,-4.28,-55.98,297.61,77,99,0.67,BR,1592448315
Halifax,44.65,-63.57,288.71,80,36,3.49,CA,1592448032
Santa Cruz de Tenerife,28.47,-16.25,293.15,93,75,8.2,ES,1592448209
Ongandjera,-17.88,15.07,286.55,49,0,4.77,NA,1592448315
Kieta,-6.22,155.63,302.64,72,95,2.95,PG,1592448315
Tuy Hoa,13.08,109.3,305.29,53,0,1.78,VN,1592448316
Luklukan,14.33,122.71,303.72,67,100,3.39,PH,1592448316
Pacific Grove,36.62,-121.92,296.15,28,1,3.6,US,1592448044
Puri,19.8,85.85,302.15,83,75,4.1,IN,1592448316
Kiunga,-6.12,141.29,303.2,63,42,1.91,PG,1592448316
La Roda,39.22,-2.15,287.59,93,0,2.1,ES,1592448316
Truth or Consequences,33.13,-107.25,306.15,9,1,6.7,US,1592448316
Mariental,-24.63,17.97,279.54,55,0,3.17,NA,1592448316
Fallbrook,33.38,-117.25,292.04,77,1,1.5,US,1592448301
Vangaindrano,-23.35,47.6,289.67,79,11,1.19,MG,1592448316
Bandraboua,-12.7,45.12,298.15,65,20,10.8,YT,1592448317
Prince Rupert,54.32,-130.32,287.15,82,90,1.0,CA,1592448293
Puerto del Rosario,28.5,-13.86,295.15,78,67,3.1,ES,1592448102
Atar,20.52,-13.05,306.47,24,0,5.24,MR,1592448317
Pangkalanbuun,-2.68,111.62,303.13,73,32,2.22,ID,1592448184
Loei,17.42,101.5,298.15,94,75,1.0,TH,1592448317
Holland,42.79,-86.11,295.15,60,1,2.57,US,1592448295
Laas,46.62,10.7,284.26,100,90,3.6,IT,1592448317
Vasterhaninge,59.12,18.1,284.82,100,0,1.49,SE,1592448317
Balabac,7.99,117.06,302.88,74,92,4.85,PH,1592448317
Ginda,30.69,78.49,301.15,83,90,1.99,IN,1592448317
Tombouctou,20.0,-3.0,306.15,11,1,5.56,ML,1592448317
Banyo,6.75,11.82,290.59,95,100,0.84,CM,1592448318
Dārāb,28.75,54.54,305.22,12,0,1.18,IR,1592448318
Mata,40.68,-7.46,279.82,92,0,0.66,PT,1592448318
Rio Grande,-32.03,-52.1,291.48,90,100,0.89,BR,1592448242
Tutóia,-2.76,-42.27,297.29,85,0,4.26,BR,1592448318
Kushiro,42.98,144.37,286.15,93,75,4.1,JP,1592448318
Eureka,40.8,-124.16,290.93,16,0,0.45,US,1592448318
Saint-Pierre,-21.34,55.48,292.15,82,40,4.6,RE,1592448318
Carambeí,-24.92,-50.1,284.89,100,53,2.36,BR,1592448318
Aquiraz,-3.9,-38.39,298.15,88,75,3.1,BR,1592448318
Atikokan,48.76,-91.62,296.24,70,3,4.37,CA,1592448126
Malayal,7.21,121.94,300.15,88,90,4.1,PH,1592448319
Alberton,46.82,-64.07,289.82,14,60,7.77,CA,1592448186
Willowmore,-33.29,23.49,279.38,72,0,2.52,ZA,1592448319
Bridlington,54.08,-0.19,286.15,100,99,4.1,GB,1592448319
Donskoye,45.46,41.97,289.82,93,73,3.0,RU,1592448319
Majene,-3.54,118.97,301.9,72,88,6.11,ID,1592448319
Kinkala,-4.36,14.76,292.05,91,19,2.11,CG,1592448319
Broken Hill,-31.95,141.43,289.15,44,0,4.6,AU,1592448319
Majholi,23.5,79.92,301.15,65,90,3.1,IN,1592448319
Raudeberg,61.99,5.14,287.04,94,41,1.48,NO,1592448319
Lavumisa,-27.31,31.89,285.92,91,100,2.81,SZ,1592448320
Cayenne,4.93,-52.33,297.15,100,93,2.57,GF,1592448320
Gravdal,68.12,13.5,283.42,76,41,8.02,NO,1592448320
São Félix do Xingu,-6.64,-51.99,295.04,84,32,0.88,BR,1592448320
Bambanglipuro,-7.95,110.28,301.83,74,34,6.29,ID,1592448320
Lipari,38.47,14.95,293.15,83,0,1.79,IT,1592448320
Alta Floresta,-9.88,-56.09,294.12,71,0,1.63,BR,1592448320
Honningsvåg,70.98,25.97,282.15,73,69,2.68,NO,1592448320
Acapulco de Juárez,16.86,-99.89,302.15,83,75,3.1,MX,1592448170
Guatire,10.48,-66.54,294.82,87,38,0.59,VE,1592448320
Hurghada,27.26,33.81,301.15,14,0,8.25,EG,1592448320
Teya,60.38,92.63,293.27,32,0,4.36,RU,1592448320
Darhan,49.49,105.92,294.09,45,79,1.14,MN,1592448321
Mandalgovi,45.76,106.27,296.36,39,17,2.77,MN,1592448321
Pingliang,35.54,106.69,300.5,24,0,1.72,CN,1592448321
Richards Bay,-28.78,32.04,287.33,87,99,3.45,ZA,1592448321
Yumen,40.28,97.2,303.25,12,96,4.36,CN,1592448321
Verkhoyansk,67.54,133.38,300.28,26,41,4.63,RU,1592448321
Augusto Corrêa,-1.02,-46.63,295.98,96,1,1.25,BR,1592448321
Santiago,-33.46,-70.65,281.15,93,75,1.5,CL,1592447902
Gamba,-2.65,10.0,294.9,93,100,0.86,GA,1592448321
Okhotsk,59.38,143.3,283.79,81,97,3.81,RU,1592448322
Mareeba,-17.0,145.43,299.26,78,75,7.7,AU,1592448322
Verkhnyaya Sinyachikha,57.98,61.67,283.71,50,0,3.71,RU,1592448322
Oleksandrivka,48.96,32.23,291.03,89,81,2.0,UA,1592448322
Flinders,-34.58,150.86,289.82,68,87,0.89,AU,1592448322
Mahmudābād,27.3,81.12,303.15,74,75,1.5,IN,1592448322
Lakhīmpur,27.95,80.77,303.28,65,34,5.05,IN,1592448286
Port Shepstone,-30.74,30.45,288.95,63,100,1.62,ZA,1592448322
Colares,38.8,-9.45,289.82,85,0,6.26,PT,1592448322
Ketchikan,55.34,-131.65,287.15,82,90,7.7,US,1592448322
Vytegra,61.01,36.45,286.99,65,0,3.39,RU,1592448322
Batemans Bay,-35.72,150.18,290.37,54,0,3.22,AU,1592448323
Paciran,-6.88,112.38,302.72,67,0,3.33,ID,1592448323
Bataiporã,-22.3,-53.27,292.73,69,100,3.7,BR,1592448323
Teguise,29.06,-13.56,295.15,78,20,1.5,ES,1592448323
Edd,13.93,41.69,304.36,43,16,1.56,ER,1592448323
Urubichá,-15.38,-62.95,294.92,71,27,1.3,BO,1592448323
Ilhabela,-23.78,-45.36,293.67,81,3,2.85,BR,1592448323
Wau,7.7,28.0,295.54,85,93,1.75,SS,1592448323
Brookings,44.31,-96.8,301.15,54,1,9.3,US,1592448323
Sørland,67.67,12.69,283.08,81,6,10.67,NO,1592448323
Normandin,48.83,-72.53,299.15,47,20,4.6,CA,1592448324
Helena,46.59,-112.04,282.59,87,90,5.7,US,1592448303
Baghdad,33.34,44.4,300.15,32,0,4.6,IQ,1592448324
Batagay-Alyta,67.8,130.41,296.79,28,78,5.07,RU,1592448324
Salta,-24.79,-65.41,290.15,72,58,3.1,AR,1592448324
Mauá,-23.67,-46.46,290.15,77,0,3.1,BR,1592448324
Uribia,11.71,-72.27,300.66,73,56,6.06,CO,1592448324
Andros Town,24.7,-77.77,299.15,88,75,2.6,BS,1592448309
Shingū,33.73,135.98,293.15,77,75,3.6,JP,1592448324
Don Sak,9.32,99.69,305.37,74,20,1.0,TH,1592448324
Tiznit Province,29.58,-9.5,289.95,73,2,1.67,MA,1592448325
Douentza,15.0,-2.95,305.74,38,0,7.82,ML,1592448325
Avera,33.19,-82.53,292.15,100,1,1.9,US,1592448325
Lompoc,34.64,-120.46,293.15,63,1,3.6,US,1592448325
Wells,51.21,-2.65,287.15,93,40,0.5,GB,1592448325
Kathu,7.92,98.33,299.15,88,40,2.1,TH,1592448325
Neijiang,29.58,105.06,297.86,77,98,1.72,CN,1592448325
Huari,-9.33,-77.23,275.93,98,11,1.0,PE,1592448325
Talnakh,69.49,88.4,279.15,52,100,2.0,RU,1592448325
Kloulklubed,7.04,134.26,301.15,83,75,2.6,PW,1592448325
Kawardha,22.02,81.25,303.72,54,100,3.85,IN,1592448325
Buala,-8.14,159.59,302.41,71,35,1.37,SB,1592448325
Sobolevo,54.43,31.9,289.83,92,0,3.28,RU,1592448326
San Mateo del Mar,16.2,-95.0,302.16,71,100,7.32,MX,1592448326
Sovetskiy,61.36,63.58,282.59,57,4,3.84,RU,1592448326
Maralal,1.1,36.7,286.07,93,28,1.19,KE,1592448326
Wucheng,29.6,118.17,302.59,92,84,5.69,CN,1592448326
Longyan,25.11,117.02,304.35,52,80,3.46,CN,1592448326
Ostrów Mazowiecka,52.8,21.9,290.37,48,12,1.6,PL,1592448326
Istok,42.78,20.49,289.15,77,75,2.1,XK,1592448326
Xinzhou,38.41,112.73,300.48,33,1,1.33,CN,1592448326
Comodoro Rivadavia,-45.87,-67.5,282.15,66,49,3.6,AR,1592448327
Nicoya,10.15,-85.45,298.34,89,99,0.38,CR,1592448327
Biltine,14.53,20.92,298.19,69,92,3.77,TD,1592448327
Businga,3.33,20.88,294.86,94,100,0.43,CD,1592448327
Adwa,14.16,38.9,291.07,67,0,0.67,ET,1592448327
Itoman,26.12,127.67,304.15,79,75,7.2,JP,1592448327
Velikodvorskiy,55.25,40.67,291.96,85,64,0.96,RU,1592448327
Southbridge,42.08,-72.03,290.93,89,17,0.45,US,1592448197
Jieshi,22.81,115.83,302.96,73,15,5.02,CN,1592448327
Flin Flon,54.77,-101.86,279.73,92,100,6.54,CA,1592448327
Nemuro,43.32,145.57,287.15,93,75,1.5,JP,1592448327
Vestmannaeyjar,63.44,-20.27,282.16,82,100,9.05,IS,1592448328
Tamale,9.4,-0.84,298.83,78,100,3.59,GH,1592448328
Boguchany,58.38,97.45,293.56,34,0,4.87,RU,1592448328
Guáimaro,21.05,-77.35,296.15,100,100,1.5,CU,1592448328
Ol'ga,43.74,135.29,286.99,75,98,3.02,RU,1592448328
Herat Province,34.5,62.0,298.15,22,0,1.5,AF,1592448328
Pringsewu,-5.36,104.97,304.14,56,65,0.62,ID,1592448135
Sinazongwe,-17.26,27.46,289.49,56,76,2.55,ZM,1592448328
Mitsamiouli,-11.38,43.28,298.3,70,31,8.56,KM,1592448328
